"snum","dnum","api00","api99","growth","meals","ell","yr_rnd","mobility","acs_k3","acs_46","not_hsg","hsg","some_col","col_grad","grad_sch","avg_ed","full","emer","enroll","mealcat"
3196,621,799,762,37,,8,0,12,19,32,15,43,21,16,5,2.53999996185303,98,3,560,1
3203,621,845,799,46,,4,0,12,19,30,6,25,27,35,9,3.16000008583069,97,6,410,1
3200,621,854,854,0,,1,0,13,19,32,4,31,25,36,4,3.03999996185303,97,0,586,1
3184,621,790,758,32,,15,0,17,19,32,16,27,23,29,6,2.8199999332428,95,7,539,1
3202,621,839,810,29,,3,0,17,17,30,8,20,24,39,9,3.23000001907349,100,8,203,1
3187,621,689,682,7,51,36,0,13,19,32,31,25,16,23,5,2.47000002861023,90,10,519,2
3193,621,841,840,1,,5,0,17,19,31,3,23,24,35,16,3.39000010490417,97,3,510,1
4132,627,493,471,22,94,41,1,33,20,32,53,27,15,4,1,1.71000003814697,73,29,590,3
4128,627,643,622,21,82,24,1,19,20,27,30,35,22,9,4,2.23000001907349,85,18,522,3
4131,627,698,686,12,62,29,1,15,20,32,19,33,22,19,7,2.61999988555908,98,0,583,2
4173,627,486,476,10,95,40,1,24,20,34,55,31,12,2,0,1.61000001430511,87,15,645,3
4167,627,612,551,61,75,26,0,16,20,32,28,24,34,11,3,2.38000011444092,100,5,277,2
4140,627,630,550,80,67,21,1,21,20,32,25,28,30,12,4,2.42000007629395,85,13,607,2
4145,627,525,519,6,78,18,1,25,20,31,23,32,30,10,4,2.40000009536743,86,14,439,2
4143,627,485,448,37,94,40,1,37,19,32,60,23,14,3,1,1.61000001430511,76,18,583,3
4136,627,474,437,37,92,34,1,28,20,31,48,31,17,3,0,1.76999998092651,81,19,470,3
4488,630,521,568,-47,97,77,0,14,19,,61,18,15,4,1,1.67999994754791,79,4,210,3
4576,630,801,762,39,,18,0,14,20,30,7,22,29,33,9,3.15000009536743,98,0,548,1
4506,630,709,619,90,59,17,0,20,16,33,10,25,36,20,9,2.94000005722046,100,0,135,2
4554,630,836,785,51,,27,0,17,19,32,19,13,8,26,33,3.41000008583069,100,0,231,1
4518,630,769,723,46,47,6,0,13,19,25,7,18,36,20,19,3.25,96,4,295,2
4486,630,706,701,5,62,15,0,13,21,28,12,27,27,29,6,2.90000009536743,100,2,645,2
4537,630,655,614,41,78,27,0,16,19,32,21,26,32,16,7,2.61999988555908,100,0,438,2
4585,630,845,843,2,,24,0,25,19,31,3,5,11,27,54,4.23999977111816,100,0,469,1
4573,630,789,747,42,,27,0,16,20,30,12,26,25,32,5,2.92000007629395,100,2,575,1
4534,630,445,421,24,100,70,0,,,29,44,25,15,13,3,2.0699999332428,90,0,512,3
4581,630,708,691,17,74,2,0,24,19,30,1,55,31,10,4,2.60999989509583,98,2,603,2
4507,630,751,679,72,71,19,0,20,17,20,10,16,41,16,18,3.16000008583069,100,0,130,2
4522,630,461,441,20,100,74,0,22,19,31,55,31,10,3,1,1.64999997615814,85,3,726,3
4530,630,757,723,34,58,14,0,16,18,30,6,17,36,30,10,3.21000003814697,98,4,525,2
4583,630,865,837,28,,8,0,17,19,30,4,17,27,29,23,3.50999999046326,100,0,344,1
4485,630,567,524,43,81,45,0,26,18,25,45,31,18,5,1,1.87999999523163,97,3,400,3
4558,630,748,684,64,62,21,0,11,18,29,11,20,39,21,9,2.98000001907349,95,5,253,2
4480,630,612,528,84,79,34,0,15,20,31,26,31,25,14,4,2.38000011444092,82,7,354,2
4533,630,500,463,37,95,69,0,24,19,26,45,29,12,8,5,1.99000000953674,97,0,350,3
4574,630,740,672,68,54,18,0,14,20,33,10,21,33,28,9,3.04999995231628,100,0,612,2
4580,630,740,712,28,66,2,0,19,19,29,2,27,44,23,4,3,100,0,543,2
4596,630,883,864,19,,3,0,9,20,30,1,10,9,52,28,3.98000001907349,97,3,556,1
4514,630,799,789,10,,10,0,14,19,30,5,18,29,26,21,3.40000009536743,100,0,378,1
4519,630,887,852,35,,8,0,10,19,27,3,14,19,33,31,3.74000000953674,100,0,256,1
4502,630,493,489,4,91,71,0,27,19,30,70,19,8,3,1,1.46000003814697,87,7,410,3
4516,630,586,529,57,93,59,0,21,20,32,53,35,8,4,0,1.64999997615814,90,3,763,3
4511,630,626,626,0,79,36,0,11,19,33,24,29,28,14,6,2.49000000953674,92,8,159,2
4487,630,528,476,52,91,68,1,10,18,27,47,28,14,8,4,1.94000005722046,81,4,459,3
4528,630,741,700,41,44,18,0,17,20,33,5,21,41,22,11,3.13000011444092,100,2,353,1
4539,630,620,621,-1,71,23,0,14,20,31,12,33,24,22,9,2.83999991416931,41,59,216,2
4547,630,803,751,52,,18,0,17,18,29,9,22,36,24,8,3,100,0,266,2
4731,632,655,635,20,56,28,0,13,18,32,9,26,34,20,12,3.01999998092651,82,14,267,2
4720,632,597,576,21,71,37,0,8,17,30,19,53,17,11,1,2.21000003814697,81,0,197,2
4783,632,789,730,59,,11,0,4,19,25,2,7,17,37,37,3.99000000953674,76,10,237,1
4737,632,808,812,-4,,26,0,7,21,32,8,33,23,32,4,2.9300000667572,81,11,329,2
4736,632,532,450,82,83,39,0,10,18,28,22,39,24,15,0,2.32999992370605,69,21,335,3
4714,632,503,504,-1,68,29,0,10,18,21,31,38,17,13,1,2.14000010490417,83,13,206,2
4781,632,655,638,17,53,12,0,7,20,23,9,74,11,4,1,2.14000010490417,94,0,187,2
4698,632,781,750,31,,26,0,9,20,29,7,14,17,38,24,3.59999990463257,95,5,280,1
4775,632,808,806,2,,5,0,3,19,29,1,7,12,35,45,4.15000009536743,87,10,448,1
4747,632,643,661,-18,72,13,0,12,19,27,9,36,35,16,4,2.6800000667572,94,6,229,2
4744,632,700,666,34,78,44,0,5,20,25,31,38,15,13,3,2.17000007629395,78,6,215,2
4729,632,558,496,62,82,41,0,8,19,20,47,37,7,6,3,1.79999995231628,90,0,189,3
4780,632,795,781,14,,6,0,5,19,30,0,6,14,43,36,4.07999992370605,77,17,404,1
4774,632,682,641,41,35,22,0,2,19,27,4,9,14,45,28,3.83999991416931,80,0,222,1
4777,632,682,675,7,75,6,0,10,19,25,0,36,29,29,7,3.0699999332428,63,26,240,2
5387,635,892,861,31,,3,0,13,19,31,0,3,10,46,40,4.23000001907349,78,5,602,1
5386,635,876,796,80,,3,0,14,19,33,2,5,13,54,27,3.99000000953674,96,0,387,1
5370,635,790,753,37,,10,0,17,18,28,5,17,28,38,11,3.32999992370605,96,4,350,1
5366,635,558,508,50,57,47,0,22,17,30,41,30,18,9,2,2.01999998092651,100,0,327,2
5358,635,575,578,-3,56,50,0,19,18,30,32,24,24,14,5,2.36999988555908,92,0,257,2
5388,635,686,658,28,28,23,0,13,18,31,6,15,33,27,18,3.35999989509583,95,5,281,1
5371,635,710,684,26,37,23,0,18,20,27,16,18,28,17,21,3.08999991416931,71,8,344,1
5362,635,487,454,33,62,47,0,21,18,27,28,44,14,13,1,2.14000010490417,86,9,310,2
3867,636,762,739,23,23,1,0,8,20,42,1,17,38,36,8,3.3199999332428,100,0,337,1
3848,636,801,794,7,,1,0,19,20,45,1,24,33,30,11,3.25999999046326,95,5,317,1
3834,636,640,622,18,69,42,0,22,19,43,8,30,34,24,4,2.86999988555908,95,5,297,2
3833,636,601,499,102,100,24,0,31,20,33,30,31,25,13,1,2.25999999046326,85,10,269,3
3828,636,624,596,28,78,12,0,36,20,44,16,28,39,12,4,2.59999990463257,86,10,290,2
3839,636,863,848,15,,1,0,18,20,46,0,9,24,39,28,3.84999990463257,100,0,355,1
3843,636,709,690,19,52,3,0,24,20,31,7,34,37,18,4,2.76999998092651,100,0,339,2
3854,636,883,851,32,,1,0,24,21,40,1,14,28,35,22,3.64000010490417,96,4,394,1
3845,636,763,748,15,40,2,0,24,17,41,11,24,33,22,11,2.98000001907349,80,15,300,1
3850,636,727,655,72,40,1,0,29,18,39,10,35,25,23,8,2.84999990463257,100,0,146,1
3864,636,568,527,41,78,30,0,36,20,49,17,38,35,9,2,2.40000009536743,75,10,321,2
3853,636,743,726,17,48,2,0,27,20,42,6,28,38,21,7,2.95000004768372,92,8,367,2
3869,636,724,686,38,48,25,0,19,20,42,10,26,33,27,4,2.90000009536743,90,7,457,2
3826,636,831,842,-11,,2,0,9,20,46,1,6,27,48,18,3.75,88,8,318,1
3824,636,876,850,26,,1,0,21,23,34,3,11,28,29,30,3.71000003814697,95,0,399,1
3835,636,556,537,19,100,28,0,32,20,50,33,26,25,13,3,2.26999998092651,79,15,410,3
3865,636,847,837,10,,0,0,8,20,35,1,15,25,38,21,3.61999988555908,95,5,312,1
3822,636,622,588,34,76,6,0,38,20,35,7,59,29,6,0,2.33999991416931,95,5,222,2
3129,653,531,502,29,82,74,1,13,22,28,43,37,16,3,1,1.79999995231628,83,17,602,3
3128,653,521,502,19,90,74,1,12,21,28,54,28,14,3,1,1.70000004768372,75,24,779,3
3127,653,473,437,36,95,86,1,15,21,30,83,8,8,0,0,1.25,71,29,590,3
3121,653,529,502,27,88,75,1,13,19,29,46,33,15,4,3,1.86000001430511,83,17,611,3
3145,653,806,815,-9,,14,0,20,21,30,10,24,43,14,9,2.88000011444092,91,9,695,1
3133,653,744,677,67,58,35,0,13,20,31,22,26,32,10,10,2.59999990463257,88,12,688,2
3151,653,444,413,31,91,88,1,14,21,27,58,30,10,1,0,1.55999994277954,70,30,593,3
6068,689,714,672,42,45,21,0,13,18,28,50,50,0,0,0,1.5,96,0,368,1
6072,689,865,843,22,,0,0,4,20,30,0,0,0,0,0,,100,0,451,1
6057,689,641,616,25,45,17,0,13,20,32,50,0,0,50,0,2.5,100,0,657,1
6065,689,772,745,27,,2,0,16,18,28,0,0,0,0,0,,96,0,374,1
6062,689,750,730,20,21,4,0,15,19,31,0,0,0,0,0,,100,0,397,1
6060,689,738,708,30,18,2,0,13,19,30,0,0,0,100,0,4,97,3,392,1
4879,716,529,482,47,83,28,0,16,18,23,31,23,29,14,4,2.36999988555908,80,13,352,3
4871,716,554,513,41,84,24,0,23,19,26,75,9,10,5,1,1.47000002861023,83,12,535,3
4875,716,504,451,53,90,46,1,19,20,26,33,17,20,20,10,2.5699999332428,83,17,657,3
4859,716,592,556,36,80,33,0,22,18,27,22,31,29,16,2,2.45000004768372,92,8,532,2
4877,716,627,582,45,86,35,1,16,20,25,41,26,22,8,2,2.02999997138977,80,9,612,3
4880,716,625,578,47,59,8,1,19,19,28,18,44,25,13,1,2.35999989509583,93,5,559,2
4881,716,436,415,21,100,49,0,19,19,24,40,20,13,28,0,2.27999997138977,80,17,363,3
4876,716,487,443,44,86,26,0,26,18,21,50,0,0,50,0,2.5,80,8,300,3
4868,716,610,520,90,84,34,0,27,20,27,27,39,15,18,1,2.26999998092651,82,12,331,3
4862,716,516,433,83,100,35,1,33,18,25,32,26,25,13,4,2.30999994277954,72,21,704,3
4878,716,465,440,25,90,27,0,21,21,26,13,25,40,17,4,2.73000001907349,74,15,466,3
5920,779,654,581,73,48,15,0,16,18,31,21,35,21,19,4,2.5,100,0,364,2
5917,779,735,672,63,42,4,0,16,19,29,8,42,24,20,7,2.75,100,0,360,1
5927,779,576,518,58,68,26,1,21,19,29,36,37,16,9,2,2.02999997138977,96,4,657,2
5926,779,469,483,-14,91,54,0,17,18,28,52,36,6,6,0,1.6599999666214,100,3,391,3
5933,779,515,468,47,91,28,0,32,17,26,40,45,11,4,0,1.78999996185303,88,12,218,3
469,796,543,527,16,82,25,0,23,20,27,27,46,16,9,1,2.11999988555908,80,6,400,3
468,796,783,758,25,,6,0,15,19,27,7,38,22,23,10,2.89000010490417,96,8,317,1
482,796,745,736,9,27,12,0,11,18,28,5,29,23,37,7,3.11999988555908,95,5,266,1
489,796,720,678,42,34,8,0,20,19,24,8,34,26,26,6,2.88000011444092,85,7,461,1
504,796,802,787,15,,10,0,21,19,33,3,27,21,37,12,3.28999996185303,91,5,360,1
488,796,539,424,115,98,12,0,18,20,24,10,75,13,1,0,2.05999994277954,93,7,301,3
479,796,512,447,65,98,34,0,31,19,32,31,48,11,9,1,2.00999999046326,83,6,269,3
